Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"10,507.10","10,028.90","10,148.30","10,295.20","11,136.00","11,796.00","12,029.40","12,027.00","12,369.80","13,126.90","13,642.30","15,356.40","16,687.50","18,030.40","17,554.40","17,720.10","18,856.00","18,849.70","18,713.50","19,008.00","19,294.00","19,678.40","20,149.90","21,767.40","22,628.00","22,019.80","24,298.90","26,484.10"
Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,459.3,286.9,254.9,525.8,632.6,646.8,744,776.3,801.9,902.2,"1,255.00","1,616.70","2,180.40","2,809.70","3,107.50","2,384.60","2,290.70","2,142.50","1,725.50","1,651.30","1,726.50","1,646.60","1,866.10","2,034.60","2,366.80","2,614.30","2,338.40","2,636.40"
Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"3,201.50","3,716.80","3,736.10","3,998.90","3,772.20","3,763.40","4,146.40","5,081.40","5,288.80","5,657.70","6,653.70","7,172.70","8,053.90","9,321.40","9,428.30","10,081.00","9,597.80","8,630.00","8,215.70","8,048.30","8,636.50","8,721.30","9,547.70","10,630.70","11,489.50","11,088.60","12,110.80","14,423.30"
Denmark,"2,045.30","2,390.60","2,522.10","2,602.50","2,518.70","2,790.80","2,564.20","2,627.70","2,775.10","3,174.00","3,440.80","3,854.70","4,662.00","4,914.20","4,800.30","4,727.90","4,675.90","4,871.00","4,664.40","5,042.90","5,623.50","6,316.50","6,117.40","6,972.70","7,868.10","8,377.70","8,116.70","8,405.40","8,936.20","9,373.50","9,762.10","11,099.60","11,359.60","12,521.30","10,233.30","9,264.20","9,902.80","10,012.50","10,145.20","10,532.70","11,749.90","13,380.40","14,328.80","14,828.70","14,716.50","14,860.20","16,275.10","19,183.40"
Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"82,983.20","100,053.40","110,102.60","119,413.30","123,093.90","114,548.00","107,153.80","102,518.90","101,737.00","98,046.00","93,163.00","89,431.00","85,419.00","83,134.00","80,470.00","83,210.00","87,680.00","91,548.00","91,320.00","99,926.00","105,972.00","110,392.00","112,226.00","119,583.00","124,907.00","132,548.00","137,994.00","148,044.00","154,323.00","167,329.00","179,802.00","211,102.00"
Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,169.7,200.2,238.5,312.1,270.8,327.1,367.9,435.8,514.6,604.4,854.5,"1,167.60","1,515.20","1,419.00",869,750.4,"1,008.70","1,154.40","1,163.60","1,079.10","1,098.50","1,229.50","1,379.70","1,561.80","1,669.80","1,651.80","1,845.80","2,198.50"
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"2,822.90","3,162.40","3,963.00","4,604.50","5,582.90","6,931.00","8,081.40","8,671.80","9,933.10","11,947.10","14,622.00","17,365.00","16,062.10","11,049.20","4,170.50","2,342.30","1,679.40","2,691.80","3,477.50","4,427.40","4,908.80","5,734.50","7,478.10","8,055.20","8,778.90","8,178.60","8,717.80","11,051.30"
Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"5,296.40","5,993.40","6,954.10","7,650.70","8,880.00","8,948.10","9,574.30","10,301.40","14,318.20","16,056.90","11,375.30","18,085.80","15,017.30","10,718.80","10,549.60","9,066.80","6,360.40","5,330.20","5,153.90","3,738.40","3,493.40","3,484.20","2,259.10","2,431.20","2,573.70","2,681.30","2,925.10","3,945.10"
Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"40,332.80","42,032.40","42,580.80","46,325.80","52,401.00","59,546.00","67,287.00","74,418.00","80,950.00","87,547.00","99,008.00","108,814.00","113,088.00","115,549.00","107,575.00","87,560.00","73,557.00","62,703.00","53,763.00","53,254.00","56,422.00","59,362.00","62,061.00","64,459.00","70,821.00","61,880.00","60,865.00","63,162.00"
France,"20,036.70","21,680.90","22,869.30","25,723.60","28,587.40","33,291.00","34,214.40","36,563.70","36,565.60","36,936.70","38,388.10","44,170.60","46,568.60","50,876.40","51,979.70","55,723.20","56,900.00","59,842.20","57,961.20","56,524.40","57,773.00","56,144.80","54,961.70","55,823.90","59,356.00","64,400.00","68,702.00","71,601.00","75,103.00","80,824.00","86,159.00","94,645.00","104,954.00","113,565.00","108,816.00","108,114.00","111,634.00","109,623.00","111,927.00","110,116.00","107,884.00","108,362.00","113,137.00","117,386.00","124,114.00","108,963.00","125,454.00","129,235.00"
